Unnamed: 0,reviewerName,overall,reviewText,reviewTime,day_diff,helpful_yes,helpful_no,total_vote,score_pos_neg_diff,score_average_rating,wilson_lower_bound
0,Al,1,"Even though it says my review is for the 32gb version it's for the 64gb. Not sure why it says 32gb above.I received this card to use in my 2013 MacBook Air for extra storage. I liked that the speeds were up to 30 MB/s. I figured there would be a little bit of a fudge factor but not this much.While I can consistently get almost 45 MB/s read speeds, the write speeds were only around 10.5 MB/s.I guess you could average these together but I don't think that's really the point. :-)I didn't see a review that dealt with this specifically so hopefully this will help someone else out in the future.Update: Only now did I go back and read the tiny print that ""Write speeds may be slower"". Well, that is obvious now but I think 1/4 of the speed is a lot slower.",04/14/2021,155,2,5,7,-3,2.368426302016857,3.9040382387490364
1,"J. Oh ""99.98% of SciFi/Fantasy is CRAP... but...",5,The 64gb version does not seem as reliable as the lower gb versions. I have had to reformat this card twice .. a real nuisance. When its working .. it does well.,04/04/2021,867,36,13,49,23,3.876490091987515,3.1135019811647
2,Howard,3,"The card does all it promises to do, but I have a gripe: the nail-ridge near the outer end of the card is not defined enough, which makes it rather difficult to extract the card from a reader or adapter.This is the first MicroSD card I have that has had this problem.",10/30/2021,922,25,3,28,22,4.00828881404032,0.7711136955981995
3,S. Power,1,"Love Sandisk, never had a problem with them and still have not. Popped this into my Samsung Galaxy Relay 4g running Android 4.0.4 and the phone detected it without a problem. Has the write speeds expected and gets the job done. Would recommend a different card if you plan to go to 64gb, buy the Samsung UHS-1 SDXC, writes at much higher speeds and has less lag. Would buy this again for the cheap price, fifty elsewhere.Sincerely, iSklcndykid",05/01/2021,377,14,44,58,-30,3.2476306437468456,1.7838552354328019
4,"Paul M. Frasca ""PMF""",5,"Works in devices that say 32 gig max...Put one in my Casio 14.1 Mega PixelCamera and it says I can take 12,800pictures...",09/16/2021,743,47,17,64,30,2.338739167000819,0.8873647065374124
5,"I'm not an internet shopaholic - ""thebanker""",5,"Does what it says. Hasn't broken yet, and I hope it doesn't break. I've had luck with this brand before. Usually get bored with the product before it breaks.",10/18/2021,883,7,28,35,-21,2.8787481960192403,1.475780194109193
6,"C. Gaiser ""Photo Chuck""",4,This is a quality 64gb micro sd memory card. It does what it is supposed to do. I would recommend this to any one.,08/28/2021,828,12,34,46,-22,1.9250768567780856,3.076505878866758
7,Malt,4,There is a reason why this memory card has thousands of 5 star ratings. Good price and it works well.,10/24/2021,402,47,37,84,10,0.6327817149711912,1.8763273552171982
8,"S. Noyce ""Sam Thee Great""",4,I bought this for my GoPro Hero 3 Silver Edition. Works like a champ. Havnt had any issues. Definitly would purchase again.,10/05/2021,225,2,15,17,-13,1.9281029869304596,1.970297599179286
9,MBakir,1,"Good price, excellent for my camcorder. The micro design was not required for my unit, but gives you flexibility for cell phones, etc. Good buy",11/06/2021,217,0,19,19,-19,2.651663780348171,2.6982364630859488
10,skylar,1,"This was a great deal and now I have plenty of storage space for my phone.I can store my ringtones, hundreds of songs and at least 6 movies.This is also the  new micro-SDXC Card which is designed for high speed transfer.",04/26/2021,568,8,23,31,-15,2.99417007325292,0.43612069420861377
11,Anon Buyer,3,"Major issues, bought FROM san disk but only worked briefly, now when I try to reformat it reports itself as a 30 meg removeable drive in both windows and macos--not sure if its defective or a mislabeled one--but got direct from amazon so just very disapointed. Will stick with transcend from now on I think.",01/18/2021,31,30,34,64,-4,4.679004880273104,3.693986449247074
12,Umang,4,"Purchased this card to expand the storage on my Samsung S4 and it does the trick.  Plenty of room to carry ebooks, music and store camera pictures.  Great item at a good price and I recommend this item for anyone needing more memory using a microSDHC Class 10 Memory Card.",12/23/2021,869,40,43,83,-3,3.886667225153081,2.0085476670667
13,Talon8Ya,5,Bought this for my new smartphone.  Installed easily and works as required.  In many years I have had no problems with any San Disk product that I have used.,12/11/2021,59,25,18,43,7,0.7599628072233866,2.401985441011601
14,"Walk Around ""Osprey""",2,"This microSD card works as advertised.  My Samsung Galaxy S3 developed a problem with the SD card that was included with the purchase of the phone.  Once I replaced it, it's as good as new.",06/15/2021,892,16,3,19,13,0.8709110332646403,4.871498644273158
15,Mike Camacho,3,Using this on a Galaxy S III. Works just fine with stock TouchWiz and custom ROMs. Haven't had any corruptions or lost files. Purchased it once it hit the $50-$60 range and looks like it'll stay there for a while.,12/29/2021,898,33,32,65,1,0.5024737961987702,1.72183444159127
16,Born Old,1,I love the additional storage for my pics/videos on my S3.  So far no problems.  Reads/writes with no problems or delays.  I got a great price on this as a gold box deal.  Too bad I could only purchase 1.  I can also use in most of my other devices with an adapter.,05/03/2021,353,8,1,9,7,3.690908636104589,3.241094679869627
17,Leandro de Souza Vitorino,3,Great price and it works perfectly in the Hero 3. No need to pay the store's high prices for these type of items. Amazon is the way to go.,12/11/2021,935,12,12,24,0,3.530611392459285,1.9625215864790535
18,"rtrski ""Who, me?""",3,"failed in my galaxy note after 8 months.lost all my pictures and videos that werent backed up.the card worked fine until suddenly wasnt being recognized on the phone or the computer.Sandisk honored the warrenty and sent a replacement and it works, but I am less confident about the product and afraid to lose data on it in later when i'm not prepared.",12/06/2021,445,4,44,48,-40,4.931814508484406,4.471413593418391
19,walter goodwyn,3,Not much to say other than they are made with Excellent quality. Price is fine for the qualityYes I would recommend to a friend.,12/16/2021,235,40,29,69,11,2.6101170883217435,4.233781334975197
20,Will,3,"Its a memory card that simply worked when I plugged it in. Not the fastest, but not the most expensive.",08/21/2021,107,12,33,45,-21,4.132074644244409,1.2081213588119217
21,Russell Sulewski,2,Works great with my Samsung Galaxy Note 3. Now I have 96GB total memory! Awesome! The price was quite good too,12/04/2021,191,0,29,29,-29,2.882199293213938,3.458728563054503
22,Christian Rowe,4,"I've been trying for a while to get a hold of a 32GB Micro SD for my phone and tablet.  It's pretty fast compared to the 16GB cards I've been using.  I really saw the performance boost with my phone, which I have many apps, pictures, music, and other documents on.  The phone boots fully stable in about 2 mins as apposed to 5-6 mins.  My computer also can write to these cards much faster than the 16GB ones I was using.  If you phone, tablet or any other device can support it I recommend you purchase these.  Also you pay like half the price using Amazon as opposed to other retail stores who's price is at least double or more.  I've seen these same cards going for about $72 in my area.",03/31/2021,992,24,23,47,1,4.370433562637185,0.32585997948603507
23,M. Harwell,5,SanDisk never disappoints. As always SanDisk products are worth every penny. Nice product and quality and works great. I recommend this product to everyone.,11/25/2021,530,46,47,93,-1,3.6051051965137577,4.815926947649451
24,El cholo canadiense,3,"great deal fast data good price . you can use it for any thing . you dont need card reader , it comes with one already",05/13/2021,913,3,43,46,-40,3.214420074956265,1.7449505400707876
25,Claude Ricks,3,"Works great.  Use it in my Galaxy Note 3 to store music, files, etc.  The adapter is handy for transferring files from PC to card without using a USB cable and going through the phone - seems to go faster.  Still can't believe they can cram 64 GB (shows up as just under 60 on the phone, by the way) on something the size of a fingernail.",08/07/2021,738,35,32,67,3,2.8256133549152516,4.159213862923835
26,"simple SW man. ""simple sw man""",3,"Good value for the money, shipping was a little longer than I expected, but it was worth the wait considering the price.  works great with my go pro hero 3 black edition.",09/05/2021,679,9,40,49,-31,3.6148526222148742,1.5921568303865496
27,michrech,4,"Stick this in the slot and forget about it.  Not sure what is being stored on this little thing or when I should remove it from my phone but, hey, it's in there.",08/11/2021,583,27,48,75,-21,2.0982692133550525,3.1638537059843603
28,Sherif Qotb,1,"Some people complain about SD cards:1) Not working fast enough2) Some android devices are acting slow3) Rooted phones do not boot from SD cards.This card is fast about 28 MB/s, removed all the lag from Android device. HDR video recorder have no delays between video recordings (Which usually happens with most of the cards on the market) and all android rooted phones I tried booted and worked.I really recommend this card for price and performance!Good luck and enjoy you purchase.",03/13/2021,874,5,9,14,-4,0.48288290352832053,4.917953959921658
29,skn777,1,"shipped quickly, plug and play just like it says, and I haven't noticed any bottlenecking on my phone due to slow speeds.",11/19/2021,566,26,17,43,9,0.19993064398920402,4.383749315658151
30,"Andrew G. Lambrecht ""Cyberdrew""",2,"I use it on my SAMSUNG GALAXY S3, it works great... more space to save all my documents, pictures and more :)",11/10/2021,245,11,18,29,-7,2.3951186580458694,0.801829549524537
31,billylh,1,Memory card works awesome and for this much memory for the price is awesome. I use it for my GoPro but you can use it for anything that can take a micro SD. Comes with the bigger SD card so you can put it into a card reader or computer that reads SD cards.,06/24/2021,995,47,6,53,41,2.996457911100707,2.7374421657473564
32,D. Crider,3,"If you want tons of capacity, here it is.  Bought mine on a pretty good sale, works perfectly, as I'd expected from SanDisk.",01/27/2021,862,2,18,20,-16,0.3942451528531271,1.742658910573451
